Impuesto,Año,Mes_Vencimiento,Ultimo_digito_nit,Dia_vencimeinto
Grandes Contribuyentes,2025,2,1,11
Grandes Contribuyentes,2025,2,2,12
Grandes Contribuyentes,2025,2,3,13
Grandes Contribuyentes,2025,2,4,14
Grandes Contribuyentes,2025,2,5,17
Grandes Contribuyentes,2025,2,6,18
Grandes Contribuyentes,2025,2,7,19
Grandes Contribuyentes,2025,2,8,20
Grandes Contribuyentes,2025,2,9,21
Grandes Contribuyentes,2025,2,0,24
Grandes Contribuyentes,2025,4,1,9
Grandes Contribuyentes,2025,4,2,10
Grandes Contribuyentes,2025,4,3,11
Grandes Contribuyentes,2025,4,4,14
Grandes Contribuyentes,2025,4,5,15
Grandes Contribuyentes,2025,4,6,16
Grandes Contribuyentes,2025,4,7,21
Grandes Contribuyentes,2025,4,8,22
Grandes Contribuyentes,2025,4,9,23
Grandes Contribuyentes,2025,4,0,24
Grandes Contribuyentes,2025,6,1,11
Grandes Contribuyentes,2025,6,2,12
Grandes Contribuyentes,2025,6,3,13
Grandes Contribuyentes,2025,6,4,14
Grandes Contribuyentes,2025,6,5,17
Grandes Contribuyentes,2025,6,6,18
Grandes Contribuyentes,2025,6,7,19
Grandes Contribuyentes,2025,6,8,20
Grandes Contribuyentes,2025,6,9,24
Grandes Contribuyentes,2025,6,0,25
Personas Juridicas,2025,5,1,12
Personas Juridicas,2025,5,2,13
Personas Juridicas,2025,5,3,14
Personas Juridicas,2025,5,4,15
Personas Juridicas,2025,5,5,16
Personas Juridicas,2025,5,6,19
Personas Juridicas,2025,5,7,20
Personas Juridicas,2025,5,8,21
Personas Juridicas,2025,5,9,22
Personas Juridicas,2025,5,0,23
Personas Juridicas,2025,7,1,9
Personas Juridicas,2025,7,2,10
Personas Juridicas,2025,7,3,11
Personas Juridicas,2025,7,4,14
Personas Juridicas,2025,7,5,15
Personas Juridicas,2025,7,6,16
Personas Juridicas,2025,7,7,17
Personas Juridicas,2025,7,8,18
Personas Juridicas,2025,7,9,21
Personas Juridicas,2025,7,0,22
Personas Naturales,2025,8,"[01,02]",12
Personas Naturales,2025,8,"[03,04]",13
Personas Naturales,2025,8,"[05,06]",14
Personas Naturales,2025,8,"[07,08]",15
Personas Naturales,2025,8,"[09,10]",19
Personas Naturales,2025,8,"[11,12]",20
